protein_id,symbol,community,degree,annotation
10090.ENSMUSP00000101377,Gm13128,1,59,Predicted gene 13128.
10090.ENSMUSP00000089680,Naca,3,99,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form; Cardiac- and muscle-specific transcription factor. May act to regulate the expression of genes involved in the development of myotubes. Plays a critical role in ventricular cardiomyocyte expansion and regulates postnatal skeletal muscle growth and regeneration. Involved in the organized assembly of thick and thin filaments of myofibril sarcomeres."
10090.ENSMUSP00000084586,Hspa1a,11,46,"Heat shock 70 kDa protein 1A; Molecular chaperone implicated in a wide variety of cellular processes, including protection of the proteome from stress, folding and transport of newly synthesized polypeptides, activation of proteolysis of misfolded proteins and the formation and dissociation of protein complexes. Plays a pivotal role in the protein quality control system, ensuring the correct folding of proteins, the re-folding of misfolded proteins and controlling the targeting of proteins for subsequent degradation. This is achieved through cycles of ATP binding, ATP hydrolysis and AD [...] "
10090.ENSMUSP00000080854,Rpl5,3,290,"60S ribosomal protein L5; Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through  [...] "
10090.ENSMUSP00000120075,Mrps14,3,254,"28S ribosomal protein S14, mitochondrial; Belongs to the universal ribosomal protein uS14 family."
10090.ENSMUSP00000010205,Gnat1,4,27,"Guanine nucleotide-binding protein G(t) subunit alpha-1; Functions as signal transducer for the rod photoreceptor RHO. Required for normal RHO-mediated light perception by the retina (By similarity). Guanine nucleotide-binding proteins (G proteins) function as transducers downstream of G protein-coupled receptors (GPCRs), such as the photoreceptor RHO. The alpha chain contains the guanine nucleotide binding site and alternates between an active, GTP-bound state and an inactive, GDP-bound state. Activated RHO promotes GDP release and GTP binding. Signaling is mediated via downstream eff [...] "
10090.ENSMUSP00000019323,Mdh2,9,65,"Malate dehydrogenase, mitochondrial."
10090.ENSMUSP00000091921,Hsp90aa1,4,156,"Heat shock protein HSP 90-alpha; Molecular chaperone that promotes the maturation, structural maintenance and proper regulation of specific target proteins involved for instance in cell cycle control and signal transduction. Undergoes a functional cycle that is linked to its ATPase activity which is essential for its chaperone activity. This cycle probably induces conformational changes in the client proteins, thereby causing their activation. Interacts dynamically with various co-chaperones that modulate its substrate recognition, ATPase cycle and chaperone function. Engages with a ra [...] "
10090.ENSMUSP00000099733,Nfe2l2,7,44,"Nuclear factor erythroid 2-related factor 2; Transcription factor that plays a key role in the response to oxidative stress: binds to antioxidant response (ARE) elements present in the promoter region of many cytoprotective genes, such as phase 2 detoxifying enzymes, and promotes their expression, thereby neutralizing reactive electrophiles. In normal conditions, ubiquitinated and degraded in the cytoplasm by the BCR(KEAP1) complex. In response to oxidative stress, electrophile metabolites inhibit activity of the BCR(KEAP1) complex, promoting nuclear accumulation of NFE2L2/NRF2, hetero [...] "
10090.ENSMUSP00000026196,Got1,9,33,"Aspartate aminotransferase, cytoplasmic; Biosynthesis of L-glutamate from L-aspartate or L-cysteine. Important regulator of levels of glutamate, the major excitatory neurotransmitter of the vertebrate central nervous system. Acts as a scavenger of glutamate in brain neuroprotection. The aspartate aminotransferase activity is involved in hepatic glucose synthesis during development and in adipocyte glyceroneogenesis. Using L-cysteine as substrate, regulates levels of mercaptopyruvate, an important source of hydrogen sulfide. Mercaptopyruvate is converted into H(2)S via the action of 3-m [...] "
10090.ENSMUSP00000119841,Lsm6,5,64,"U6 snRNA-associated Sm-like protein LSm6; Plays role in pre-mRNA splicing as component of the U4/U6-U5 tri-snRNP complex that is involved in spliceosome assembly, and as component of the precatalytic spliceosome (spliceosome B complex). The heptameric LSM2-8 complex binds specifically to the 3'-terminal U-tract of U6 snRNA. Component of LSm protein complexes, which are involved in RNA processing and may function in a chaperone-like manner, facilitating the efficient association of RNA processing factors with their substrates. Component of the cytoplasmic LSM1-LSM7 complex, which is tho [...] "
10090.ENSMUSP00000043561,Mrpl41,3,125,"39S ribosomal protein L41, mitochondrial; Component of the mitochondrial ribosome large subunit. Also involved in apoptosis and cell cycle. Enhances p53/TP53 stability, thereby contributing to p53/TP53-induced apoptosis in response to growth-inhibitory condition. Enhances p53/TP53 translocation to the mitochondria. Has the ability to arrest the cell cycle at the G1 phase, possibly by stabilizing the CDKN1A and CDKN1B (p27Kip1) proteins."
10090.ENSMUSP00000109064,Ccl20,4,45,"C-C motif chemokine 20; Acts as a ligand for C-C chemokine receptor CCR6. Signals through binding and activation of CCR6 and induces a strong chemotactic response and mobilization of intracellular calcium ions. The ligand-receptor pair CCL20-CCR6 is responsible for the chemotaxis of dendritic cells (DC), effector/memory T-cells and B-cells and plays an important role at skin and mucosal surfaces under homeostatic and inflammatory conditions, as well as in pathology, including cancer and autoimmune diseases. CCL20 acts as a chemotactic factor that attracts lymphocytes and, slightly, neu [...] "
10090.ENSMUSP00000020085,Ube2d1,8,35,"Ubiquitin-conjugating enzyme E2 D1; Accepts ubiquitin from the E1 complex and catalyzes its covalent attachment to other proteins. In vitro catalyzes 'Lys-48'- linked polyubiquitination. Mediates the selective degradation of short- lived and abnormal proteins. Functions in the E6/E6-AP-induced ubiquitination of p53/TP53. Mediates ubiquitination of PEX5 and auto- ubiquitination of STUB1, TRAF6 and TRIM63/MURF1. Ubiquitinates STUB1- associated HSP90AB1 in vitro. Lacks inherent specificity for any particular lysine residue of ubiquitin. Essential for viral activation of IRF3. Mediates pol [...] "
10090.ENSMUSP00000066927,Gata4,4,19,"Transcription factor GATA-4; Transcriptional activator that binds to the consensus sequence 5'-AGATAG-3' and plays a key role in cardiac development (By similarity). In cooperation with TBX5, it binds to cardiac super- enhancers and promotes cardiomyocyte gene expression, while it downregulates endocardial and endothelial gene expression (By similarity). Involved in bone morphogenetic protein (BMP)-mediated induction of cardiac-specific gene expression (By similarity). Binds to BMP response element (BMPRE) DNA sequences within cardiac activating regions (By similarity). Acts as a trans [...] "
10090.ENSMUSP00000020681,Slu7,5,60,"Pre-mRNA-splicing factor SLU7; Required for pre-mRNA splicing as component of the spliceosome. Participates in the second catalytic step of pre-mRNA splicing, when the free hydroxyl group of exon I attacks the 3'-splice site to generate spliced mRNA and the excised lariat intron. Required for holding exon 1 properly in the spliceosome and for correct AG identification when more than one possible AG exists in 3'-splicing site region. May be involved in the activation of proximal AG. Probably also involved in alternative splicing regulation. Belongs to the SLU7 family."
10090.ENSMUSP00000078715,Myl3,4,10,Myosin light chain 3; Regulatory light chain of myosin. Does not bind calcium.
10090.ENSMUSP00000091487,Supt4a,6,52,"Transcription elongation factor SPT4-A; Component of the DRB sensitivity-inducing factor complex (DSIF complex), which regulates mRNA processing and transcription elongation by RNA polymerase II. DSIF positively regulates mRNA capping by stimulating the mRNA guanylyltransferase activity of RNGTT/CAP1A. DSIF also acts cooperatively with the negative elongation factor complex (NELF complex) to enhance transcriptional pausing at sites proximal to the promoter. Transcriptional pausing may facilitate the assembly of an elongation competent RNA polymerase II complex. DSIF and NELF promote pa [...] "
10090.ENSMUSP00000034428,Gabarapl2,4,21,Gamma-aminobutyric acid receptor-associated protein-like 2; Ubiquitin-like modifier involved in intra-Golgi traffic. Modulates intra-Golgi transport through coupling between NSF activity and SNAREs activation. It first stimulates the ATPase activity of NSF which in turn stimulates the association with GOSR1 (By similarity). Involved in autophagy. Plays a role in mitophagy which contributes to regulate mitochondrial quantity and quality by eliminating the mitochondria to a basal level to fulfill cellular energy requirements and preventing excess ROS production. Whereas LC3s are involved [...] 
10090.ENSMUSP00000147502,Ruvbl2,11,78,RuvB-like 2; Possesses single-stranded DNA-stimulated ATPase and ATP- dependent DNA helicase (5' to 3') activity; hexamerization is thought to be critical for ATP hydrolysis and adjacent subunits in the ring- like structure contribute to the ATPase activity (By similarity). Component of the NuA4 histone acetyltransferase complex which is involved in transcriptional activation of select genes principally by acetylation of nucleosomal histones H4 and H2A (By similarity). This modification may both alter nucleosome-DNA interactions and promote interaction of the modified histones with oth [...] 
10090.ENSMUSP00000063412,Acox3,7,21,Peroxisomal acyl-coenzyme A oxidase 3; Oxidizes the CoA-esters of 2-methyl-branched fatty acids.
10090.ENSMUSP00000023684,Gart,2,55,Trifunctional purine biosynthetic protein adenosine-3; In the N-terminal section; belongs to the GARS family.  In the C-terminal section; belongs to the GART family.
10090.ENSMUSP00000095197,Lars,3,14,"Leucine--tRNA ligase, cytoplasmic; Catalyzes the specific attachment of an amino acid to its cognate tRNA in a two step reaction: the amino acid (AA) is first activated by ATP to form AA-AMP and then transferred to the acceptor end of the tRNA. Exhibits a post-transfer editing activity to hydrolyze mischarged tRNAs; Belongs to the class-I aminoacyl-tRNA synthetase family."
10090.ENSMUSP00000037007,Hspb8,11,32,Heat shock protein beta-8; Displays temperature-dependent chaperone activity; Belongs to the small heat shock protein (HSP20) family.
10090.ENSMUSP00000051550,Gm12794,1,59,Predicted gene 12794.
10090.ENSMUSP00000106953,Apoa2,4,20,"Proapolipoprotein A-II; May stabilize HDL (high density lipoprotein) structure by its association with lipids, and affect the HDL metabolism; Belongs to the apolipoprotein A2 family."
10090.ENSMUSP00000077946,Ampd2,2,26,AMP deaminase 2; AMP deaminase plays a critical role in energy metabolism. Catalyzes the deamination of AMP to IMP and plays an important role in the purine nucleotide cycle (By similarity); Belongs to the metallo-dependent hydrolases superfamily. Adenosine and AMP deaminases family.
10090.ENSMUSP00000051619,Mapk3,4,155,"Mitogen-activated protein kinase 3; Serine/threonine kinase which acts as an essential component of the MAP kinase signal transduction pathway. MAPK1/ERK2 and MAPK3/ERK1 are the 2 MAPKs which play an important role in the MAPK/ERK cascade. They participate also in a signaling cascade initiated by activated KIT and KITLG/SCF. Depending on the cellular context, the MAPK/ERK cascade mediates diverse biological functions such as cell growth, adhesion, survival and differentiation through the regulation of transcription, translation, cytoskeletal rearrangements. The MAPK/ERK cascade plays a [...] "
10090.ENSMUSP00000034056,Tlr3,4,50,"Toll-like receptor 3; Key component of innate and adaptive immunity. TLRs (Toll- like receptors) control host immune response against pathogens through recognition of molecular patterns specific to microorganisms. TLR3 is a nucleotide-sensing TLR which is activated by double-stranded RNA, a sign of viral infection. Acts via the adapter TRIF/TICAM1, leading to NF-kappa-B activation, IRF3 nuclear translocation, cytokine secretion and the inflammatory response (By similarity)."
10090.ENSMUSP00000000186,Fgf23,4,30,Fibroblast growth factor 23; Regulator of phosphate homeostasis (By similarity). Inhibits renal tubular phosphate transport by reducing SLC34A1 levels (By similarity). Acts directly on the parathyroid to decrease PTH secretion (By similarity). Regulator of vitamin-D metabolism (By similarity). Negatively regulates osteoblasts differentiation and matrix mineralization (By similarity). Upregulates EGR1 expression in the presence of KL; Belongs to the heparin-binding growth factors family.
10090.ENSMUSP00000025014,Mrpl28,3,83,"39S ribosomal protein L28, mitochondrial; Belongs to the bacterial ribosomal protein bL28 family."
10090.ENSMUSP00000040355,Gtf2h5,6,74,"General transcription factor IIH subunit 5; Component of the general transcription and DNA repair factor IIH (TFIIH) core complex, which is involved in general and transcription-coupled nucleotide excision repair (NER) of damaged DNA and, when complexed to CAK, in RNA transcription by RNA polymerase II. In NER, TFIIH acts by opening DNA around the lesion to allow the excision of the damaged oligonucleotide and its replacement by a new DNA fragment. In transcription, TFIIH has an essential role in transcription initiation. When the pre-initiation complex (PIC) has been established, TFII [...] "
10090.ENSMUSP00000029653,Egf,4,146,Pro-epidermal growth factor; EGF stimulates the growth of various epidermal and epithelial tissues in vivo and in vitro and of some fibroblasts in cell culture. Magnesiotropic hormone that stimulates magnesium reabsorption in the renal distal convoluted tubule via engagement of EGFR and activation of the magnesium channel TRPM6 (By similarity).
10090.ENSMUSP00000058021,Timeless,8,43,"Protein timeless homolog; Plays an important role in the control of DNA replication, maintenance of replication fork stability, maintenance of genome stability throughout normal DNA replication, DNA repair and in the regulation of the circadian clock. Required to stabilize replication forks during DNA replication by forming a complex with TIPIN: this complex regulates DNA replication processes under both normal and stress conditions, stabilizes replication forks and influences both CHEK1 phosphorylation and the intra-S phase checkpoint in response to genotoxic stress. TIMELESS promotes [...] "
10090.ENSMUSP00000102512,Cxcr2,4,60,"C-X-C chemokine receptor type 2; Receptor for interleukin-8 which is a powerful neutrophil chemotactic factor. Binding of IL-8 to the receptor causes activation of neutrophils. This response is mediated via a G-protein that activates a phosphatidylinositol-calcium second messenger system. Binds to IL-8 with high affinity. Also binds with high affinity to CXCL3, GRO/MGSA and NAP-2."
10090.ENSMUSP00000000193,Ccl2,4,127,"C-C motif chemokine 2; Acts as a ligand for C-C chemokine receptor CCR2 (By similarity). Signals through binding and activation of CCR2 and induces a strong chemotactic response and mobilization of intracellular calcium ions (By similarity). Exhibits a chemotactic activity for monocytes and basophils but not neutrophils or eosinophils (By similarity). Plays an important role in mediating peripheral nerve injury-induced neuropathic pain. Increases NMDA-mediated synaptic transmission in both dopamine D1 and D2 receptor-containing neurons, which may be caused by MAPK/ERK-dependent phospho [...] "
10090.ENSMUSP00000006856,Pola1,8,57,"DNA polymerase alpha catalytic subunit; Catalytic subunit of the DNA polymerase alpha complex (also known as the alpha DNA polymerase-primase complex) which plays an essential role in the initiation of DNA synthesis. During the S phase of the cell cycle, the DNA polymerase alpha complex (composed of a catalytic subunit POLA1, a regulatory subunit POLA2 and two primase subunits PRIM1 and PRIM2) is recruited to DNA at the replicative forks via direct interactions with MCM10 and WDHD1. The primase subunit of the polymerase alpha complex initiates DNA synthesis by oligomerising short RNA p [...] "
10090.ENSMUSP00000034981,Xrn1,5,36,5'-3' exoribonuclease 1; Major 5'-3' exoribonuclease involved in mRNA decay. Required for the 5'-3'-processing of the G4 tetraplex-containing DNA and RNA substrates. The kinetic of hydrolysis is faster for G4 RNA tetraplex than for G4 DNA tetraplex and monomeric RNA tetraplex. Binds to RNA and DNA. Plays a role in replication-dependent histone mRNA degradation (By similarity).
10090.ENSMUSP00000020756,Pnpt1,3,61,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial; RNA-binding protein implicated in numerous RNA metabolic processes. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'-to-5' direction. Mitochondrial intermembrane factor with RNA-processing exoribonulease activity. Component of the mitochondrial degradosome (mtEXO) complex, that degrades 3' overhang double-stranded RNA with a 3'-to-5' directionality in an ATP-dependent manner. Involved in the degradation of non-coding mitochondrial transcripts (MT-ncRNA) and tRNA-like molecules (By simi [...] "
10090.ENSMUSP00000023502,Snx4,10,39,Sorting nexin-4; Involved in the regulation of endocytosis and in several stages of intracellular trafficking. Plays a role in recycling endocytosed transferrin receptor and prevent its degradation. Belongs to the sorting nexin family.
10090.ENSMUSP00000044665,Crp,4,34,"C-reactive protein; Displays several functions associated with host defense: it promotes agglutination, bacterial capsular swelling, phagocytosis and complement fixation through its calcium-dependent binding to phosphorylcholine. Can interact with DNA and histones and may scavenge nuclear material released from damaged circulating cells; Belongs to the pentraxin family."
10090.ENSMUSP00000023531,Hcls1,4,36,Hematopoietic lineage cell-specific protein; Substrate of the antigen receptor-coupled tyrosine kinase. Plays a role in antigen receptor signaling for both clonal expansion and deletion in lymphoid cells. May also be involved in the regulation of gene expression (By similarity).
10090.ENSMUSP00000106017,Ncaph,8,50,"Condensin complex subunit 2; Regulatory subunit of the condensin complex, a complex required for conversion of interphase chromatin into mitotic-like condense chromosomes. The condensin complex probably introduces positive supercoils into relaxed DNA in the presence of type I topoisomerases and converts nicked DNA into positive knotted forms in the presence of type II topoisomerases. Early in neurogenesis, may play an essential role to ensure accurate mitotic chromosome condensation in neuron stem cells, ultimately affecting neuron pool and cortex size. Belongs to the CND2 (condensin s [...] "
10090.ENSMUSP00000051432,H2ax,8,82,"Histone H2AX; Variant histone H2A which replaces conventional H2A in a subset of nucleosomes. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post- translational modifications of histones, also called histone code, and nucleosome remodeling. Required for checkpoint-mediated arrest of cell cycle progression in response to low dos [...] "
10090.ENSMUSP00000099756,Nt5m,2,26,"5'(3')-deoxyribonucleotidase, mitochondrial; Dephosphorylates specifically the 5' and 2'(3')-phosphates of uracil and thymine deoxyribonucleotides, and so protects mitochondrial DNA replication from excess dTTP. Has only marginal activity towards dIMP and dGMP; Belongs to the 5'(3')-deoxyribonucleotidase family."
10090.ENSMUSP00000060073,Jak3,4,67,"Tyrosine-protein kinase JAK3; Non-receptor tyrosine kinase involved in various processes such as cell growth, development, or differentiation. Mediates essential signaling events in both innate and adaptive immunity and plays a crucial role in hematopoiesis during T-cells development. In the cytoplasm, plays a pivotal role in signal transduction via its association with type I receptors sharing the common subunit gamma such as IL2R, IL4R, IL7R, IL9R, IL15R and IL21R. Following ligand binding to cell surface receptors, phosphorylates specific tyrosine residues on the cytoplasmic tails o [...] "
10090.ENSMUSP00000000299,Itgb2,4,72,"Integrin beta-2; Integrin ITGAL/ITGB2 is a receptor for ICAM1, ICAM2, ICAM3 and ICAM4. Integrin ITGAL/ITGB2 is also a receptor for the secreted form of ubiquitin-like protein ISG15; the interaction is mediated by ITGAL (By similarity). Integrins ITGAM/ITGB2 and ITGAX/ITGB2 are receptors for the iC3b fragment of the third complement component and for fibrinogen. Integrin ITGAX/ITGB2 recognizes the sequence G-P-R in fibrinogen alpha-chain. Integrin ITGAM/ITGB2 recognizes P1 and P2 peptides of fibrinogen gamma chain. Integrin ITGAM/ITGB2 is also a receptor for factor X. Integrin ITGAD/ITG [...] "
10090.ENSMUSP00000138709,Cox6b2,9,55,"Cytochrome c oxidase subunit 6B2; Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol- cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and [...] "
10090.ENSMUSP00000099487,Nop56,0,169,"Nucleolar protein 56; Involved in the early to middle stages of 60S ribosomal subunit biogenesis. Core component of box C/D small nucleolar ribonucleoprotein (snoRNP) particles. Required for the biogenesis of box C/D snoRNAs such U3, U8 and U14 snoRNAs (By similarity). Belongs to the NOP5/NOP56 family."
10090.ENSMUSP00000020705,Pes1,0,167,"Pescadillo homolog; Component of the PeBoW complex, which is required for maturation of 28S and 5.8S ribosomal RNAs and formation of the 60S ribosome; Belongs to the pescadillo family."
10090.ENSMUSP00000023050,Tab1,4,32,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1; May be an important signaling intermediate between TGFB receptors and MAP3K7/TAK1. May play an important role in mammalian embryogenesis.
